BANK_NAME,STATE,TOTAL_ASSETS_MM,TOTAL_DEPOSITS_MM,NET_LOANS_MM,NET_INTEREST_MARGIN_PCT,NET_CHARGEOFF_RATE_PCT,LOAN_TO_DEPOSIT_RATIO_PCT
First National Bank,TX,8200,6800,5100,3.42,0.28,75.0
Heartland Community Bank,OH,7500,6200,4800,3.18,0.35,77.4
Mountain West Bank,UT,6900,5700,4200,3.55,0.22,73.7
Lakeside Financial,MN,6400,5300,3900,3.28,0.41,73.6
Coastal Banking Corp,FL,5800,4900,3600,3.61,0.19,73.5
Heritage Bank & Trust,TN,5200,4300,3200,3.08,0.48,74.4
Pioneer National Bank,KS,4900,4100,3000,3.72,0.17,73.2
River Valley Bank,IA,4500,3800,2800,3.15,0.38,73.7
Summit Financial Group,CO,4100,3400,2500,3.44,0.25,73.5
Bluegrass Bank,KY,3800,3200,2300,3.31,0.32,71.9
Pacific Community Bank,OR,3500,2900,2100,3.58,0.21,72.4
Great Plains Bancorp,NE,3200,2700,1900,3.22,0.44,70.4
Southern Trust Bank,GA,2900,2400,1700,3.47,0.29,70.8
Cascade Financial,WA,2600,2200,1500,3.63,0.18,68.2
Cornerstone Bank,IN,2300,1900,1300,3.09,0.51,68.4
Frontier Savings Bank,WY,2100,1800,1200,3.38,0.33,66.7
Midwest Regional Bank,MI,1900,1600,1050,3.21,0.42,65.6
Valley National Bancorp,AZ,1700,1400,900,3.55,0.23,64.3
Appalachian Community Bank,WV,1500,1250,800,3.12,0.47,64.0
Prairie State Bank,IL,1200,1000,650,3.41,0.31,65.0
